省份,运营商,130 号段,131 号段,132 号段,145 号段,146 号段,155 号段,156 号段,166 号段,167 号段,171 号段,175 号段,176 号段,185 号段,186 号段,196 号段
上海,联通,1300020,1312050,1320000,1450560,1465500,1550210,1560160,1660170,1670002,1711210,1750160,1760120,1850160,1860160,1960210
上海,联通,1300021,1312051,1320001,1450561,1465501,1550211,1560161,1660171,1670015,1711211,1750161,1760121,1850161,1860161,1960211
上海,联通,1300022,1312052,1320002,1450562,1465502,1550212,1560162,1660172,1670021,1711212,1750162,1760122,1850162,1860162,1960212
上海,联通,1300023,1312053,1320003,1450563,1465503,1550213,1560163,1660173,1670045,1711213,1750163,1760123,1850163,1860163,1960213
上海,联通,1300024,1312054,1320004,1450564,1465504,1550214,1560164,1660174,1670086,1711214,1750164,1760124,1850164,1860164,1960214
上海,联通,1300210,1312055,1320005,1450565,1465505,1550215,1560165,1660175,1670095,1711215,1750165,1760125,1850165,1860165,1960215
上海,联通,1300211,1312056,1320006,1450566,1465506,1550216,1560166,1660176,1670106,1711216,1750166,1760126,1850166,1860166,1960216
上海,联通,1300212,1312057,1320007,1450567,1465507,1550217,1560167,1660177,1670108,1711217,1750167,1760127,1850167,1860167,1960217
上海,联通,1300213,1312058,1320008,1450568,1465508,1550218,1560168,1660178,1670133,1711218,1750168,1760128,1850168,1860168,1960218
上海,联通,1300214,1312059,1320009,1450569,1465509,1550219,1560169,1660179,1670189,1711219,1750169,1760129,1850169,1860169,1960219
上海,联通,1300215,1312060,1320010,1450570,1465510,,1560170,1660180,1670201,1712660,1750210,1760130,1850170,1860170,1961210
上海,联通,1300216,1312061,1320011,1450571,1465511,,1560171,1660181,1670211,1712661,1750211,1760131,1850171,1860171,1961211
上海,联通,1300217,1312062,1320012,1450572,1465512,,1560172,1660182,1670213,1712662,1750212,1760132,1850172,1860172,1961212
上海,联通,1300218,1312063,1320013,1450573,1465513,,1560173,1660183,1670217,1712663,1750213,1760133,1850173,1860173,1961213
上海,联通,1300219,1312064,1320014,1450574,1465514,,1560174,1660184,1670270,1712664,1750214,1760134,1850174,1860174,1961214
上海,联通,1300310,1312065,1320015,1450575,1465515,,1560175,1660185,1670344,1712665,1750215,1760135,1850175,1860175,1961215
上海,联通,1300311,1312066,1320016,1450576,1465516,,1560176,1660186,1670487,1712666,1750216,1760136,1850176,1860176,1961216
上海,联通,1300312,1312067,1320017,1450577,1465517,,1560177,1660187,1671210,1712667,1750217,1760137,1850177,1860177,1961217
上海,联通,1300313,1312068,1320018,1450578,1465518,,1560178,1660188,1671211,1712668,1750218,1760138,1850178,1860178,1961218
上海,联通,1300314,1312069,1320019,1450579,1465519,,1560179,1660189,1671212,1712669,1750219,1760139,1850179,1860179,1961219
上海,联通,1300315,1312070,1320020,1450660,1465520,,1560180,1660190,1671213,1713200,1751040,1760210,1850210,1860210,1962100
上海,联通,1300316,1312071,1320021,1450661,1465521,,1560181,1660191,1671214,1713201,1751041,1760211,1850211,1860211,1962101
上海,联通,1300317,1312072,1320022,1450662,1465522,,1560182,1660192,1671215,1713202,1751042,1760212,1850212,1860212,1962102
上海,联通,1300318,1312073,1320023,1450663,1465523,,1560183,1660193,1671216,1713203,1751043,1760213,1850213,1860213,1962103
上海,联通,1300319,1312074,1320024,1450664,1465524,,1560184,1660194,1671217,1713204,1751044,1760214,1850214,1860214,1962104
上海,联通,1300320,1312075,1320025,1450665,1465525,,1560185,1660195,1671218,1713205,1751045,1760215,1850215,1860215,1962105
上海,联通,1300321,1312076,1320026,1450666,1465526,,1560186,1660196,1671219,1713206,1751046,1760216,1850216,1860216,1962106
上海,联通,1300322,1312077,1320027,1450667,1465527,,1560187,1660197,1672210,1713207,1751047,1760217,1850217,1860217,1962107
上海,联通,1300323,1312078,1320028,1450668,1465528,,1560188,1660198,1672211,1713208,1751048,1760218,1850218,1860218,1962108
上海,联通,1300324,1312079,1320029,1450669,1465529,,1560189,1660199,1672212,1713209,1751049,1760219,1850219,1860219,1962109
上海,联通,1300325,1312080,1320030,1450670,1465530,,1560190,1660210,1672213,1713210,1751050,1761210,1851210,1861600,
上海,联通,1300326,1312081,1320031,1450671,1465531,,1560191,1660211,1672214,1713211,1751051,1761211,1851211,1861601,
上海,联通,1300327,1312082,1320032,1450672,1465532,,1560192,1660212,1672215,1713212,1751052,1761212,1851212,1861602,
上海,联通,1300328,1312083,1320033,1450673,1465533,,1560193,1660213,1672216,1713213,1751053,1761213,1851213,1861603,
上海,联通,1300329,1312084,1320034,1450674,1465534,,1560194,1660214,1672217,1713214,1751054,1761214,1851214,1861604,
上海,联通,1300410,1312085,1320035,1450675,1465535,,1560195,1660215,1672218,1713215,1751055,1761215,1851215,1861605,
上海,联通,1300411,1312086,1320036,1450676,1465536,,1560196,1660216,1672219,1713216,1751056,1761216,1851216,1861606,
上海,联通,1300412,1312087,1320037,1450677,1465537,,1560197,1660217,1673000,1713217,1751057,1761217,1851217,1861607,
上海,联通,1300413,1312088,1320038,1450678,1465538,,1560198,1660218,1673001,1713218,1751058,1761218,1851218,1861608,
上海,联通,1300414,1312089,1320039,1450679,1465539,,1560199,1660219,1673002,1713219,1751059,1761219,1851219,1861609,
上海,联通,1300415,1312090,1320040,1450680,1465540,,1561800,1661020,1673003,1713220,1751060,1761850,1851600,1861610,
上海,联通,1300416,1312091,1320041,1450681,1465541,,1561801,1661021,1673004,1713221,1751061,1761851,1851601,1861611,
上海,联通,1300417,1312092,1320042,1450682,1465542,,1561802,1661022,1673005,1713222,1751062,1761852,1851602,1861612,
上海,联通,1300418,1312093,1320043,1450683,1465543,,1561803,1661023,1673006,1713223,1751063,1761853,1851603,1861613,
上海,联通,1300419,1312094,1320044,1450684,1465544,,1561804,1661024,1673007,1713224,1751064,1761854,1851604,1861614,
上海,联通,1301000,1312095,1320045,1450685,1465545,,1561805,1661025,1673008,1713225,1751065,1761855,1851605,1861615,
上海,联通,1301002,1312096,1320046,1450686,1465546,,1561806,1661026,1673009,1713226,1751066,1761856,1851606,1861616,
上海,联通,1301031,1312097,1320047,1450687,1465547,,1561807,1661027,1673010,1713227,1751067,1761857,1851607,1861617,
上海,联通,1301280,1312098,1320049,1450688,1465548,,1561808,1661028,1673011,1713228,1751068,1761858,1851608,1861618,
上海,联通,1301281,1312099,1320050,1450689,1465549,,1561809,1661029,1673012,1713229,1751069,1761859,1851609,1861619,
上海,联通,1301282,1312200,1320051,1450690,1465550,,1561810,1661120,1673013,1714007,1751070,1761860,1851610,1861620,
上海,联通,1301283,1312201,1320052,1450691,1465551,,1561811,1661121,1673014,1714008,1751071,1761861,1851611,1861621,
上海,联通,1301284,1312202,1320053,1450692,1465552,,1561812,1661122,1673015,1714009,1751072,1761862,1851612,1861622,
上海,联通,1301285,1312203,1320054,1450693,1465553,,1561813,1661123,1673016,1714011,1751073,1761863,1851613,1861623,
上海,联通,1301286,1312204,1320055,1450694,1465554,,1561814,1661124,1673017,1714012,1751074,1761864,1851614,1861624,
上海,联通,1301287,1312205,1320056,1450695,1465555,,1561815,1661125,1673018,1714013,1751075,1761865,1851615,1861625,
上海,联通,1301288,1312206,1320057,1450696,1465556,,1561816,1661126,1673019,1714014,1751076,1761866,1851616,1861626,
上海,联通,1301289,1312207,1320058,1450697,1465557,,1561817,1661127,1673020,1714015,1751077,1761867,1851617,1861627,
上海,联通,1302010,1312208,1320059,1450698,1465558,,1561818,1661128,1673021,1714016,1751078,1761868,1851618,1861628,
上海,联通,1302011,1312209,1320060,1450699,1465559,,1561819,1661129,1673022,1714017,1751079,1761869,1851619,1861629,
上海,联通,1302012,1312210,1320061,1450700,1465560,,1561820,1661130,1673023,1714018,1751080,1761870,1851620,1861630,
上海,联通,1302013,1312211,1320062,1450701,1465561,,1561821,1661131,1673024,1714019,1751081,1761871,1851621,1861631,
上海,联通,1302014,1312212,1320063,1450702,1465562,,1561822,1661132,1673025,1714021,1751082,1761872,1851622,1861632,
上海,联通,1302015,1312213,1320064,1450703,1465563,,1561823,1661133,1673026,1714033,1751083,1761873,1851623,1861633,
上海,联通,1302016,1312214,1320065,1450704,1465564,,1561824,1661134,1673027,1714034,1751084,1761874,1851624,1861634,
上海,联通,1302017,1312215,1320066,1450705,1465565,,1561825,1661135,1673028,1714035,1751085,1761875,1851625,1861635,
上海,联通,1302018,1312216,1320067,1450706,1465566,,1561826,1661136,1673029,1714036,1751086,1761876,1851626,1861636,
上海,联通,1302019,1312217,1320068,1450707,1465567,,1561827,1661137,1673210,1714037,1751087,1761877,1851627,1861637,
上海,联通,1302020,1312218,1320069,1450708,1465568,,1561828,1661138,1673211,1714062,1751088,1761878,1851628,1861638,
上海,联通,1302021,1312219,1320070,1450709,1465569,,1561829,1661139,1673212,1714063,1751089,1761879,1851629,1861639,
上海,联通,1302022,1312220,1320071,1450710,1465570,,1561830,1661190,1673213,1714064,1751090,1761880,1851630,1861640,
上海,联通,1302023,1312221,1320072,1450711,1465571,,1561831,1661191,1673214,1714065,1751091,1761881,1851631,1861641,
上海,联通,1302024,1312222,1320073,1450712,1465572,,1561832,1661192,1673215,1714066,1751092,1761882,1851632,1861642,
上海,联通,1302025,1312223,1320074,1450713,1465573,,1561833,1661193,1673216,1714067,1751093,1761883,1851633,1861643,
上海,联通,1302026,1312224,1320075,1450714,1465574,,1561834,1661194,1673217,1714068,1751094,1761884,1851634,1861644,
上海,联通,1302027,1312225,1320076,1450715,1465575,,1561835,1661195,1673218,1714069,1751095,1761885,1851635,1861645,
上海,联通,1302028,1312226,1320077,1450716,1465576,,1561836,1661196,1673219,1714070,1751096,1761886,1851636,1861646,
上海,联通,1302029,1312227,1320078,1450717,1465577,,1561837,1661197,1674210,1714612,1751097,1761887,1851637,1861647,
上海,联通,1302210,1312228,1320079,1450718,1465578,,1561838,1661198,1674211,1714613,1751098,1761888,1851638,1861648,
上海,联通,1302211,1312229,1320080,1450719,1465579,,1561839,1661199,1674212,1714614,1751099,1761889,1851639,1861649,
上海,联通,1302212,1312230,1320081,1450720,1465580,,1561840,1661210,1674213,1714615,1751160,1761890,1851640,1861650,
上海,联通,1302213,1312231,1320082,1450721,1465581,,1561841,1661211,1674214,1714616,1751161,1761891,1851641,1861651,
上海,联通,1302214,1312232,1320083,1450722,1465582,,1561842,1661212,1674215,1714617,1751162,1761892,1851642,1861652,
上海,联通,1302215,1312233,1320084,1450723,1465583,,1561843,1661213,1674216,1714618,1751163,1761893,1851643,1861653,
上海,联通,1302216,1312234,1320085,1450724,1465584,,1561844,1661214,1674217,1714619,1751164,1761894,1851644,1861654,
上海,联通,1302217,1312235,1320086,1450725,1465585,,1561845,1661215,1674218,1714620,1751165,1761895,1851645,1861655,
上海,联通,1302218,1312236,1320087,1450726,1465586,,1561846,1661216,1674219,1714621,1751166,1761896,1851646,1861656,
上海,联通,1302219,1312237,1320088,1450727,1465587,,1561847,1661217,1675021,1714622,1751167,1761897,1851647,1861657,
上海,联通,1302310,1312238,1320089,1450728,1465588,,1561848,1661218,1675496,1714623,1751168,1761898,1851648,1861658,
上海,联通,1302311,1312239,1320090,1450729,1465589,,1561849,1661219,1675497,1714624,1751169,1761899,1851649,1861659,
上海,联通,1302312,1312240,1320091,1450730,1465590,,1561850,1661890,1675833,1714625,1751170,1762100,1851650,1861660,
上海,联通,1302313,1312241,1320092,1450731,1465591,,1561851,1661891,1676021,1714626,1751171,1762101,1851651,1861661,
上海,联通,1302314,1312242,1320093,1450732,1465592,,1561852,1661892,1677021,1714627,1751172,1762102,1851652,1861662,
上海,联通,1302315,1312243,1320094,1450733,1465593,,1561853,1661893,1677153,1714628,1751173,1762103,1851653,1861663,
上海,联通,1302316,1312244,1320095,1450734,1465594,,1561854,1661894,1677154,1714629,1751174,1762104,1851654,1861664,
上海,联通,1302317,1312245,1320096,1450735,1465595,,1561855,1661895,1677155,1715210,1751175,1762105,1851655,1861665,
上海,联通,1302318,1312246,1320097,1450736,1465596,,1561856,1661896,1677156,1715211,1751176,1762106,1851656,1861666,
上海,联通,1302319,1312247,1320098,1450737,1465597,,1561857,1661897,1677157,1715212,1751177,1762107,1851657,1861667,
上海,联通,1302320,1312248,1320099,1450738,1465598,,1561858,1661898,1677158,1715213,1751178,1762108,1851658,1861668,
上海,联通,1302321,1312249,1324800,1450739,1465599,,1561859,1661899,1677159,1715214,1751179,1762109,1851659,1861669,
上海,联通,1302322,1312250,1324801,1450740,1465600,,1561860,1662100,1677160,1715215,1751210,1762110,1851660,1861670,
上海,联通,1302323,1312251,1324802,1450741,1465601,,1561861,1662101,1677161,1715216,1751211,1762111,1851661,1861671,
上海,联通,1302324,1312252,1324803,1450742,1465602,,1561862,1662102,1677162,1715217,1751212,1762112,1851662,1861672,
上海,联通,1302325,1312253,1324804,1450743,1465603,,1561863,1662103,1677163,1715218,1751213,1762113,1851663,1861673,
上海,联通,1302326,1312254,1324805,1450744,1465604,,1561864,1662104,1677164,1715219,1751214,1762114,1851664,1861674,
上海,联通,1302327,1312255,1324806,1450745,1465605,,1561865,1662105,1677165,1715740,1751215,1762115,1851665,1861675,
上海,联通,1302328,1312256,1324807,1450746,1465606,,1561866,1662106,1677166,1715741,1751216,1762116,1851666,1861676,
上海,联通,1302329,1312257,1324808,1450747,1465607,,1561867,1662107,1677167,1715742,1751217,1762117,1851667,1861677,
上海,联通,1302410,1312258,1324809,1450748,1465608,,1561868,1662108,1677168,1715743,1751218,1762118,1851668,1861678,
上海,联通,1302411,1312259,1324810,1450749,1465609,,1561869,1662109,1677169,1715744,1751219,1762119,1851669,1861679,
上海,联通,1302412,1312260,1324811,1450750,1465610,,1561870,1662110,1677170,1715745,1751400,1762120,1851670,1861680,
上海,联通,1302413,1312261,1324812,1450751,1465611,,1561871,1662111,1677171,1715746,1751401,1762121,1851671,1861681,
上海,联通,1302414,1312262,1324813,1450752,1465612,,1561872,1662112,1677172,1715747,1751402,1762122,1851672,1861682,
上海,联通,1302415,1312263,1324814,1450753,1465613,,1561873,1662113,1677173,1715748,1751403,1762123,1851673,1861683,
上海,联通,1302416,1312264,1324815,1450754,1465614,,1561874,1662114,1677174,1715749,1751404,1762124,1851674,1861684,
上海,联通,1302417,1312265,1324816,1450755,1465615,,1561875,1662115,1677175,1715770,1751405,1762125,1851675,1861685,
上海,联通,1302418,1312266,1324817,1450756,1465616,,1561876,1662116,1677176,1715771,1751406,1762126,1851676,1861686,
上海,联通,1302419,1312267,1324818,1450757,1465617,,1561877,1662117,1677177,1715772,1751407,1762127,1851677,1861687,
上海,联通,1303210,1312268,1324819,1450758,1465618,,1561878,1662118,1677178,1715773,1751408,1762128,1851678,1861688,
上海,联通,1303211,1312269,1324820,1450759,1465619,,1561879,1662119,1677179,1715774,1751409,1762129,1851679,1861689,
上海,联通,1303212,1312270,1324821,1450760,1465620,,1561880,1662120,1677180,1715775,1751410,1762130,1852100,1861690,
